id,name
12436,Miley Cyrus
1424602,Maluma
1562681,Ariana Grande
13639,Leona Lewis
12948083,Ava Max
4050205,The Weeknd
290,Madonna
59070642,Tones and I
8058039,Joel Corry
5313805,Harry Styles
193875,Demi Lovato
9064930,Cardi B
12436,Miley Cyrus
290,Madonna
160,Shakira
83,The Pussycat Dolls
144227,Katy Perry
1176860,Topic
45,Jennifer Lopez
384236,Ed Sheeran
9236850,Camila Cabello
330,Backstreet Boys
4768525,Vance Joy
4101559,Rag'n'Bone Man
1562681,Ariana Grande
474,Ace of Base
8706544,Dua Lipa
75491,Lady Gaga
564,Rihanna
246791,Drake
1538640,Little Mix
564,Rihanna
892,Coldplay
290,Madonna
1562681,Ariana Grande
4050205,The Weeknd
9635624,Billie Eilish
10385666,SAINt JHN
1562681,Ariana Grande
483,Britney Spears
181878,Portugal. The Man
59070642,Tones and I
2789,Ricky Martin
69925,P!nk
1097709,Sam Smith
6707,Luis Fonsi
292185,Selena Gomez
564,Rihanna
259,Michael Jackson
416239,Imagine Dragons
